"","x"
"1","Plp1"
"2","Cst3"
"3","Apoe"
"4","Sparcl1"
"5","Slc1a2"
"6","Atp2b1"
"7","Meg3"
"8","Cpe"
"9","Gpm6a"
"10","Calm2"
"11","Gria2"
"12","Atp1b1"
"13","Chn1"
"14","Ppp3ca"
"15","Snhg11"
"16","Calm1"
"17","Hpca"
"18","Rtn1"
"19","Syt1"
"20","Prkcb"
"21","Snap25"
"22","Stmn3"
"23","Ttc3"
"24","Nrgn"
"25","Snca"
"26","Tubb2a"
"27","D3Bwg0562e"
"28","Map1b"
"29","Ntm"
"30","Scg5"
"31","Aldoa"
"32","Basp1"
"33","Gria1"
"34","2900097C17Rik"
"35","Clu"
"36","Nsf"
"37","Ywhah"
"38","Grin2b"
"39","Olfm1"
"40","Tcf4"
"41","Mdh1"
"42","Stmn2"
"43","Tspan13"
"44","Ncdn"
"45","Atp1a3"
"46","Prnp"
"47","Grm5"
"48","Scn2a1"
"49","Atp6v0c-ps2"
"50","Ndrg4"
"51","3110035E14Rik"
"52","Sub1"
"53","Snurf"
"54","Camk2n1"
"55","Pja2"
"56","Celf2"
"57","Ppp3r1"
"58","Eno2"
"59","Nptn"
"60","Dlgap1"
"61","Camk2b"
"62","Vsnl1"
"63","Crym"
"64","Eif4a2"
"65","Npy"
"66","Gnas"
"67","Nrxn1"
"68","Pcsk2"
"69","Atp5b"
"70","Celf4"
"71","Vip"
"72","Slc8a1"
"73","Camk2a"
"74","Ywhaz"
"75","Gabra1"
"76","Atp6v1a"
"77","Dnm1"
"78","Syn2"
"79","Zcchc18"
"80","Scg2"
"81","Cck"
"82","Gap43"
"83","Neurod6"
"84","Rasgrp1"
"85","Ngfrap1"
"86","Usmg5"
"87","Ywhab"
"88","Thy1"
"89","Cadm2"
"90","Cyfip2"
"91","Ywhag"
"92","Calm3"
"93","Tspan7"
"94","Htr3a"
"95","Gm5506_loc1"
"96","Uchl1"
"97","Arf3"
"98","Ppp3cb"
"99","Atp2a2"
"100","Nsg2"
"101","Epha4"
"102","Napb"
"103","Sst"
"104","Dclk1"
"105","Ppia"
"106","Pde1a"
"107","Tpi1"
"108","Gabrb2"
"109","Atp5a1"
"110","Mllt11"
"111","Rab3c"
"112","Cpne6"
"113","Kif5c"
"114","Rab3a"
"115","Myt1l"
"116","Prkar1b"
"117","Cx3cl1"
"118","Rgs4"
"119","Fbxw7"
"120","Pkm"
"121","Camkv"
"122","Sptbn1"
"123","Gda"
"124","Atp1a2"
"125","Lars2"
"126","Gnao1"
"127","Tagln3"
"128","Tuba4a"
"129","Pgm2l1"
"130","Itm2c"
"131","Slc25a3"
"132","Wasf1"
"133","Ptprs"
"134","Syp"
"135","Cmip"
"136","Maged1"
"137","Nrxn3"
"138","Lmo4"
"139","Pgrmc1"
"140","Synj1"
"141","Pgam1"
"142","Rbfox1"
"143","Mapk10"
"144","Nme1"
"145","Atp6v1b2"
"146","Ldha"
"147","Serpini1"
"148","Ensa"
"149","Pfn2"
"150","Gria3"
